camber_front,tire_pressure_psi,brake_bias,driving_style_aggression,TrackTemp,AirTemp,effective_wear_rate,laps_until_critical_wear
-3.3763796434579127,23.936355202774422,55.60461227700048,0.9998680974916214,31.01180124223602,27.43167701863354,2.6163256859539095,27.0
-1.6478570807702515,24.734356593750213,54.99368144347105,1.0986987090050377,30.94105960264901,21.473509933774835,2.5295007004728656,28.0
-2.3040181745657846,28.545473932021803,52.6423086875429,1.0250667122625332,33.838961038961045,22.674025974025977,4.452316102776929,16.0
-2.70402454740889,23.40004386059892,59.109000051522315,0.8333210332447186,42.070253164556966,27.28860759493671,2.3596323704013273,30.0
-4.031944078672691,28.69649684812171,57.14936240762943,0.8742320947134222,42.070253164556966,27.28860759493671,5.165206608076966,14.0
-4.032016438991392,20.881344309766916,62.98551488486005,0.8877312736123677,42.928205128205136,29.330128205128204,4.924955121858756,14.0
-4.325749163495401,27.767984372086307,50.48164370723087,0.9031457014579379,33.838961038961045,22.674025974025977,3.559394317902614,20.0
-1.9014715626751943,28.475476330547366,59.6580189133269,1.0261613567802017,42.928205128205136,29.330128205128204,4.930325822076896,14.0
-2.6966549647703735,21.81817652837339,61.44423317767342,1.0015863119301573,31.01180124223602,27.43167701863354,3.721727660951355,19.0
-2.3757822666118633,24.303465323722005,61.3922985378246,0.8812640153456835,42.928205128205136,29.330128205128204,2.502449692540336,28.0
-4.438246517112592,21.654997746636557,63.291109506432875,0.8270219373822749,30.94105960264901,21.473509933774835,3.78269289138193,19.0
-1.590270443514017,27.066041289942177,60.935506142442414,0.8685728817898872,42.070253164556966,27.28860759493671,2.929174378555585,24.0
-2.002672077598735,25.353477680616567,63.91715092471544,1.1937525250474412,31.01180124223602,27.43167701863354,3.411422308949958,21.0
-3.8629826679651718,26.35323346708321,54.98984899731337,0.9874187799165889,42.928205128205136,29.330128205128204,3.320990151888758,21.0
-3.9545250983786984,21.964869669562113,57.548141251273144,1.146938201880845,42.928205128205136,29.330128205128204,4.48203705037879,16.0
-3.9497864704396983,22.117458620524197,50.21119494924336,1.1395009866675374,30.94105960264901,21.473509933774835,3.7303124241288326,19.0
-3.587273271121387,20.414973255099063,50.10436380954937,1.0046078229851494,42.070253164556966,27.28860759493671,4.613108220707185,15.0
-2.9257307051032866,23.220675351957297,53.6018993067728,1.0826750833842174,42.928205128205136,29.330128205128204,2.9394962689099873,24.0
